paragraph_id,sentence_id,sentence_function,depends_on,new_information,evidence_or_definition,problem,revision
M31,s3,范围限定,s2 的第三组特征,现目录下第三组 5 个坐标中 4 个恒零→变化的干预信息只剩修复改变位置的比例,app:features,none,none
M31,s4,范围限定,s1 的 retrieval,检索不限定来源或 horizon;邻域按掩码几何/可见上下文/参考预测匹配,none,none,none
M31,s5,衔接,s2 的特征,附录为规范特征表含窗口长度与仅在回放库上拟合的归一化,app:features,none,none
M32,s1,操作,M31 的 retrieval,检索按动作分别进行,none,none,none
M32,s2,定义,s1,N_a=记录动作为 a 且状态在标准化欧氏距离下最接近 z_a 的 k 条库记录,none,none,none
M32,s3,定义,s2 的 neighbourhood,每个邻居权重 w_i=exp(-d_i/τ) 且 τ=邻域距离中位数+ε(式3),eq:weights,none,none
M32,s4,解释,s3 的权重,越近的记录贡献越大;带宽由查询邻域自身设定而非调参,eq:weights,none,none
M32,s5,解释,s3,常数 ε 处理零距离,eq:weights,none,none
M32,s6,定义,s3 的加权记录,由加权记录计算三个量:局部均值效用/局部离散度/有效样本量(式4),eq:local-moments,none,none
M32,s7,范围限定,s6,k 与 §3.4 的 β 是仅有的搜索量;§3.4 说明选法,none,none,none
M32,s8,范围限定,s2 的 neighbourhood,邻域仅由距离定义且无阈值标记回放支撑外请求→估计器对收到的每个请求都返回值,none,none,none
M32,s9,衔接,s8 的 scope,§4.6 与附录把由此产生的适用范围作为网格内陈述处理,sec:exp-robust 与 app:scope,none,none
M41,s1,原因,M32 的局部均值,正局部均值不是执行动作的充分证据:邻域可能小或内部不一致,none,none,none
M41,s2,定义,s1,决策因此使用保守分数 S_a=μ̂_a-β·σ̂_a/√n_eff(式5),eq:score,none,none
M41,s3,解释,s2,β 为惩罚强度,eq:score,none,none
M41,s4,操作,s2,当 max S_a>0 时取 argmax 动作否则 a*=a_0,eq:score,none,none
M41,s5,范围限定,s2 的 score,该分数是经验决策规则,none,none,none
M41,s6,范围限定,s5,它没有校准的覆盖率或风险保证,angelopoulos2024conformal,none,none
M41,s7,操作,s2 的 β,β 从有限网格选取且决策阈值保持为零,none,none,none
M41,s8,范围限定,s7 的零阈值,因效用相对参考动作定义零阈值要求正的惩罚后估计才让修复取代 Keep;这是决策约定不是显著性陈述,eq:utility,none,none
M42,s1,操作,M32 s7 的两个超参,两个超参每骨干在回放库上以 leave-one-parent-out 交叉验证选一次;每个 bank episode 对移除其 parent 全部记录的库评分,none,指代不明(parent 为主文首次使用且全文未定义;附录才说明统计单位),在首次出现处补一句定义(如 parent=同一原始序列段的监督单位)
M42,s2,操作,s1 的选择,"网格 k∈{8..256} 与 β∈{0,0.5,1,1.64};最大惩罚约为单侧 95% 正态分位数仅作网格值",none,none,none
M42,s3,定义,s1,设置可采纳条件:交叉验证条件损害率不超过上限,none,指代不明(conditional harmful rate 主文未定义仅在附录图表注中解释),首次出现处补一句定义
M42,s4,定义,s3 的 cap,上限来自库本身:库中平均实现效用最高动作的条件损害率→逐请求选择在干预前提下不得比总用最强单一干预更有害,none,none,none
M42,s5,操作,s3 的可采纳设置,可采纳设置中取交叉验证 source-macro MASE 最低者;并列时取干预最少者,none,none,none
M42,s6,范围限定,s3-s5,无设置满足上限时记录的流水线回退到最大惩罚;该回退不重检上限故该分支上限不保证且触发它的运行不满足所述标准,none,none,none
M42,s7,结果,s6 的 fallback,该分支在任何记录的选择中从未触发,none,none,none
M42,s8,范围限定,s1-s7,锚点/上限/可采纳设置/所选参数对对记录的运行固定,none,none,none
M43,s1,范围限定,M41 的 decision rule,参考动作总可用故规则总返回预测,none,none,none
M43,s2,范围限定,M32 s8 的支撑外问题,规则无法检测回放支撑外请求→只适用于注册缺失网格;结果不应读作网格外泛化,none,none,none
M51,s1,操作,小节主题:部署流程,请求分两阶段服务,none,none,none
M51,s2,操作,s1 的第一阶段,第一阶段执行参考动作得 p_0 物化候选输入版本并形成状态 z_a,M13 与 M22,none,none
M51,s3,操作,s1 的第二阶段,第二阶段从冻结库检索同动作邻域对每个 a∈A^+ 评估 S_a 执行 a* 并返回其预测(a*=a_0 时为参考预测),M32 与 M41,none,none
M52,s1,结果,M51 的两阶段,请求成本=参考动作 1 次骨干调用加若干预执行再 1 次;返回的预测始终是未改 F 在一个执行版本上的一次调用,none,none,none
M52,s2,操作,s1 的候选构建,5 个干预中 3 个用自有模型构建候选(2 个冻结 in-context 插补模型 1 个训练的 imputer)且全部在决策前支付,none,none,none
M52,s3,衔接,s1-s2,附录把一次性建库/候选物化/骨干调用/检索开销分列,app:calls,none,none
E11,s1,操作,小节主题:评估协议,记录的评估覆盖 8 个来源(ETTh1..Weather)与 3 个冻结骨干,none,none,none
E11,s2,定义,s1 的 backbones,骨干为 Chronos-Bolt/TimesFM-2.5/Chronos-2,引用 chronosbolt2025/das2024timesfm/chronos2_2025,none,none
E11,s3,操作,s1,每个骨干用同一选择程序构建独立回放库,M42,none,none
E11,s4,操作,s1,"上下文长 L=512;horizon H∈{96,192}",none,none,none
E11,s5,操作,s1,主比较用 10% 缺失跨 4 个确定性模式,none,none,none
E11,s6,操作,s5,附加评估用 30% 与 50% 缺失且不重调,none,none,none
E11,s7,衔接,s4-s6,附录定义掩码与指标,app:data-protocol,none,none
E12,s1,定义,小节主题:比较对象,目录含 Keep 与 5 个修复,M12,衔接(本段主题是比较伙伴首句却回到目录构成与后文不直接相关),删除该句或并入 E11;以"每个比较伙伴回答一个问题"开篇
E12,s2,衔接,s1,每个比较伙伴回答关于决策的一个不同问题,none,none,none
E12,s3,对比,s2,不变输入:是否根本不需要外部修复,none,none,none
E12,s4,对比,s2,TRAIN 上选出的最佳固定修复:选择是否必须逐请求做出,none,none,none
E12,s5,对比,s2,R2-CART(同一状态特征上的简单选择器):更复杂的估计带来什么,none,none,none
E12,s6,对比,s2,Fixed SAITS 提供强单修复参照;TATO 适配覆盖域级流水线选择,none,none,none
E12,s7,衔接,s3-s6,附录给出它们的实现,app:baseline-config,none,none
E12,s8,范围限定,s2,目录 oracle 使用未来目标仅作诊断,none,none,none
E13,s1,操作,小节主题:数据切分,每个来源按时间切分并做 L+H purge,none,none,none
E13,s2,操作,s1 的 TRAIN,TRAIN 分为回放库与内部评估块,M22,none,none
E13,s3,结果,s1,报告的评估含每骨干每严重度 95 个 parent 与 760 个 episode,none,指代不明(parent 未定义同 M42 s1),同 M42 s1
E13,s4,定义,s3 的评估,MASE 跨来源等权聚合;RMSSE 为次级指标,M12 s5,none,none
E13,s5,操作,s4,记录的配对 bootstrap 区间以 parent 为聚类单位,none,指代不明(parent 未定义),同 M42 s1
E13,s6,衔接,s1-s5,附录给出分区与聚合定义,app:splits 与 app:metric-conventions,none,none
E14,s1,范围限定,E13 的 TEST block,当前设计吸收了对本 TEST 块早期评估的观察(含 Chronos-2),none,none,none
E14,s2,范围限定,s1,因此报告的比较是 post-hoc 且 Chronos-2 是附加骨干比较,none,none,none
E14,s3,范围限定,s1,在该块上的重复评估与报告的 bootstrap 区间都不构成新的独立确认,none,none,none
E21,s1,结果,小节主题:修复效用变化,记录的诊断显示没有单一动作对每个请求都最优,fig:utility,none,none
E21,s2,证据,s1,oracle-best 份额从 11.1% 到 24.8%;Keep 在 19.3% episode 上最优,fig:utility,指代不明(份额范围未说明沿哪个维度变化:动作还是骨干),补一句说明该范围的取值维度
E21,s3,证据,s1,目录 oracle 达 1.258 source-macro MASE 对 Keep 的 1.576→存在更好动作选择的空间,fig:utility 与 tab:main,none,none
E21,s4,结果,s1,每个修复都既帮助又损害单个预测,fig:utility,none,none
E21,s5,衔接,s4,附录按可用改进量分解同一批 episode,app:opportunity,none,none
E21,s6,范围限定,s1-s5,这些观察确立逐请求选择的潜在收益存在;其本身不表明可部署规则能实现这些收益,none,none,none
E22,s1,结果,E21 的 decision,重构质量对该决策提供的指导有限,none,none,none
E22,s2,证据,s1,在记录的 Bolt episode 上重构误差最低的修复仅在 19.3% episode 上同时具有最高预测效用,app:recutils,衔接(此 19.3% 与 E21 s2 的 Keep 最优份额同值但统计量不同相邻出现易混淆),强调两处 19.3% 的分母与统计量不同
E22,s3,证据,s1,排序在 44.5% 有序对上一致;episode 内 Spearman 相关均值 0.12,app:recutils,none,none
E22,s4,解释,s3 的统计,这些统计在 episode 内比较动作避免跨来源尺度差异,none,none,none
E22,s5,衔接,s2-s4,附录报告完整比较,app:recutils,none,none
E22,s6,衔接,E21-E22 的诊断,图1 示意历史预测结果如何指导选择,fig:concept,衔接(段末悬挂的图1 引用与前句附录指针并列且归属不清),移到段首或 §3 方法处或删除
E23,s1,衔接,E21 与 E22 两个诊断,两个诊断共同支持用预测效用而非重构质量监督选择,none,none,none
E23,s2,衔接,s1,剩余问题是可部署决策规则能否把观察到的变化转化为更好预测→下一节考察,none,none,none
E31,s1,衔接,小节主题:预测性能,表1 比较 10% 缺失下各方法,tab:main,none,none
E31,s2,结果,s1,IntroAct-TS 达 1.437 对 Keep 1.576/Best Fixed 1.488/R2-CART 1.458,tab:main,none,none
E31,s3,结果,s1,Fixed SAITS 1.459;TATO 1.616,tab:main,none,none
E31,s4,结果,s2-s3,最低可部署 MASE 在 Bolt 与 Chronos-2 上由 IntroAct-TS 取得在 TimesFM 上由 Fixed SAITS 取得,tab:main,none,none
E31,s5,范围限定,s4,聚合优势不意味着每个骨干都获胜,none,none,none
E32,s1,结果,E31 的比较,对 Keep 的配对差:Bolt -0.0881/TimesFM -0.1283/Chronos-2 -0.2014,tab:main,none,none
E32,s2,证据,s1,"记录的 95% 区间分别为 [-0.1530,-0.0256]/[-0.2018,-0.0543]/[-0.2876,-0.1180]",E13 s5 的 bootstrap 协议,none,none
E32,s3,结果,s2,三个区间均不含零,none,none,none
E32,s4,范围限定,s2,对 Best Fixed 与 R2-CART 的区间含零→这些比较不确立对任一对照的精度优势,none,none,none
E32,s5,范围限定,s3,Holm 校正后对 Keep 的比较每骨干仍低于 0.05 且受上文 post-hoc 评估边界约束,E14,none,none
E33,s1,结果,E31-E32,该方法在 6 个可部署方法中每个骨干平均秩最低,tab:main,none,none
E33,s2,范围限定,s1,秩是描述性汇总不确立每个 cell 的一致改进,none,none,none
E33,s3,范围限定,E31 s3 的 TATO,TATO 结果适用于附录规定的适配与搜索预算,app:baseline-config,none,none
E33,s4,衔接,s1,逐来源结果与成本见附录,app:datasets 与 app:calls,none,none
E34,s1,衔接,E31 的 aggregate advantage,两个来源级诊断定位该优势来自哪里,none,none,none
E34,s2,操作,s1,诊断一:收益来自识别适合某来源的修复还是适合某请求的修复,none,none,none
E34,s3,定义,s2,来源级固定策略:每来源应用库上平均实现效用最高的单一动作不支持处回退 Keep 全部在 TRAIN 固定,none,none,none
E34,s4,结果,s3,"该策略达 1.360/1.527/1.448:Bolt(+0.0181[0.0061,0.0296])与 TimesFM(+0.0269[0.0035,0.0526])优于完整规则 Chronos-2 更差(-0.0704 区间含零)聚合接近(1.445 对 1.437)",tab:main,none,none
E34,s5,结果,s4,逐请求选择在 3 个骨干中的 2 个上不优于按来源的固定选择,none,none,none
E35,s1,操作,E34 s1 的第二个诊断,诊断二:在 TEST 的每个七来源子集上重算 source-macro 配对差,none,none,none
E35,s2,结果,s1,对不变输入与 TATO 的边际在每个子集每个骨干上保号,app:source-diagnostics,none,none
E35,s3,结果,s1,对更强对照不保号:移除 Exchange 使 Bolt 上对 Best Fixed 的配对差由 -0.0497 降至 -0.0061 并在 TimesFM 与 Chronos-2 上反号(+0.0095/+0.0073);对简单选择器同样集中,app:source-diagnostics,none,none
E35,s4,结果,s2-s3,对 Best Fixed 与 R2-CART 的聚合优势很大程度上依赖一个来源;对不变输入的优势是 broad-based 的,none,none,none
E35,s5,衔接,s1-s4,附录报告完整表,app:source-diagnostics,none,none
E36,s1,衔接,§4.3 的平均误差结果,平均误差也不区分帮助与损害的修复→下一节考察干预频率与已执行干预的代价,none,none,none
E41,s1,结果,小节主题:干预频率与损害,默认工作点 IntroAct-TS 在 65.4% 请求上干预其中 40.2% 增大损失,tab:ablation,none,none
E41,s2,结果,s1,其 harmful loss 为 0.0375 对 Best Fixed 0.0513 与 R2-CART 0.0584,fig:harm,指代不明(harmful loss 主文未给定义仅在附录解释),首次主文出现处补一句定义
E41,s3,衔接,s1-s2,这些聚合诊断保留在附录图中,fig:harm,none,none
E42,s1,原因,E41 的 lower harm,较低损害原则上可能来自更少干预而非更好选择→评估引入干预频率可比的对照,none,none,none
E42,s2,衔接,s1,三种不同设计回答三个不同问题并分别报告,none,none,none
E42,s3,定义,s2,随机门控保留完整规则推荐的修复只随机化是否执行,none,none,none
E42,s4,定义,s2,mean-only 与 linear 对照保留各自打分规则但重校准接受阈值,none,none,none
E42,s5,定义,s2,Best Fixed 的 random-Keep 变体保留固定修复并随机化是否执行,none,none,none
E42,s6,操作,s3-s5,所有阈值与概率在开发块对完整方法的开发干预率校准后冻结;开发匹配不保证 TEST 频率相等→图报告实际 TEST 率连同精度与损害,fig:gate-controls,none,none
E43,s1,结果,E42 s3 的随机门控,对随机门控完整规则 MASE 改善 0.0292/0.1182/0.0682 且三个名义区间均不含零,fig:gate-controls,none,none
E43,s2,结果,E42 s4 的两个对照,对 mean-only 的优势仅 TimesFM 不含零对 linear 仅 Bolt;这两个对照也改变推荐的修复故不隔离接受决策,fig:gate-controls,none,none
E43,s3,结果,s1,随机门控用单一记录种子但其 harmful loss 在三骨干上均低于完整规则,fig:gate-controls,none,none
E43,s4,结果,E42 s5 的 random-Keep 变体,对频率匹配伙伴:random-Keep 固定策略三骨干均差于完整规则(-0.0640/-0.0852/-0.1183 区间均不含零)实际 TEST 率 52.2%/33.7%/49.6% 低于开发目标(固定修复部分请求不支持且未重匹配),fig:gate-controls,none,none
E43,s5,结果,E42 s4 的简单选择器,"阈值匹配简单选择器达 1.404/1.590/1.412;其对完整规则的配对差仅 Bolt 不含零(-0.0252[-0.0495,-0.0011])",fig:gate-controls,none,none
E43,s6,衔接,s1-s5,附录记录精确值与这些 post-hoc 比较的局限,app:gate-controls 与 app:matched-partners,none,none
E44,s1,范围限定,E43 的比较,这些比较界定而非隔离机制,none,none,none
E44,s2,结果,E43,更少干预本身不复现完整规则的精度;对频率匹配简单选择器的边际仍依赖骨干,none,none,none
E44,s3,结果,E43,对照联合支持 accuracy-harm 权衡:完整规则比频率匹配替代更有效地把干预转化为更低误差但 harmful loss 在每骨干高于随机门控,none,none,none
E51,s1,衔接,小节主题:效用估计与状态表示,表2 改变选择器使用历史效用的方式,tab:ablation,none,none
E51,s2,定义,s1,A1 用逐动作全局均值替换局部估计,tab:ablation,none,none
E51,s3,定义,s1,A2-M 跨修复动作池化局部邻居只保留全局动作先验,tab:ablation,none,none
E51,s4,定义,s1,A5 从同一状态线性预测效用,tab:ablation,none,none
E51,s5,操作,s2-s4,"三者复用完整方法冻结的 (k,β) 不重调",M42,none,none
E51,s6,结果,s3 的 A2-M,"池化动作效用使 MASE 由 1.4366 升至 1.4470 干预率由 65.4% 升至 82.6%;Bolt 配对差 -0.0252(名义区间 [-0.0478,-0.0025])TimesFM 与 Chronos-2 区间含零",tab:ablation,none,none
E51,s7,结果,s4 的 A5,线性估计器达 1.4343,tab:ablation,none,none
E51,s8,范围限定,s6-s7,池化也改变局部证据与全局先验的平衡故非单因素消融;所测设计内比较支持动作条件局部估计但不确立局部估计优于线性预测,none,超证据风险(支持"动作条件局部估计"最直接的证据是 A1 但正文未报告 A1 的数字仅见于表2),补一句 A1 的结果(1.475/100% 干预)作为该结论的正文证据
E51,s9,结果,小节主题:决策侧,总是行动(A4)使 harmful loss 由 0.0375 升至 0.0533=移除 Keep 分支的记录代价,tab:ablation,none,none
E52,s1,衔接,E51 的估计侧消融,第二组消融改变状态,tab:ablation,none,none
E52,s2,结果,s1,A3 删除参考预测特征达 1.446 接近完整方法,tab:ablation,none,none
E52,s3,结果,s1,A2-F 在同一冻结配置下删除 5 个干预特征聚合 MASE 改善至 1.4185 且 Bolt 区间支持缩减状态,none,证据缺口(A2-F 在正文有结果讨论但不在表2 中读者无法在表中对照该行),表2 增加 A2-F 行或在表注指明其数值出处
E52,s4,解释,s3,5 个特征中 4 个在现目录下恒零→A2-F 实际删除 1 个变化坐标连同该特征组诱导的选择;其更优误差按记录保留不改述为反对机制的证据,M31 s3 与 app:features,none,none
E53,s1,解释,E52 s3 的 A2-F,A2-F 是固定配置消融:回答其他都不变时该特征组贡献什么,none,none,none
